2018-09-16T07:10:31.627Z - info: Website generation started at 15:10:17
2018-09-16T07:11:25.623Z - info: Building assets...
2018-09-16T07:11:43.260Z - info: Assets built
2018-09-16T07:11:43.261Z - info: Generating pages...
2018-09-16T07:12:57.042Z - info: Pages built
2018-09-16T07:12:57.676Z - info: Site data built
2018-09-16T07:12:57.677Z - info: Website generation complete! Total build time: 160.018s
2018-09-16T07:12:57.686Z - info: Generate Site durationMs=160026
2018-09-16T07:12:58.251Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-09-16T07:12:58.252Z - info: Press CTRL+C to stop ...
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\admin\policies.fr
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\admin\appendixC-faq.md
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\admin\faq.md
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\_markbind\boilerplates\resourcesPanel.md
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\_markbind\boilerplates\exercisesPanel.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\text.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\evidence\javaTools.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\evidence\cppToJava.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\evidence\modeling.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\evidence\project.md
2018-09-16T08:29:10.472Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\arrayListClass\resources.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\arrayListClass\exercises.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\arrayListClass\q-numbersList.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\arrayListClass\q-taskManagerLevel4.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\text.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\exceptions\how\text.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\exceptions\how\exercises.md
2018-09-16T08:29:10.473Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\exceptions\how\q-parseRectangleDescriptor.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\polymorphism\text.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\polymorphism\exercises.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\polymorphism\q-printShapeArea.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\scannerClass\text.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\scannerClass\exercises.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\scannerClass\q-findTotalExpenditure.md
2018-09-16T08:29:10.474Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\common\definitions.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\hashMapClass\exercises.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\hashMapClass\q-weeklyRoster.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\hashMapClass\resources.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\modeling\modelingStructures\classDiagramsBasic\exercises.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\modeling\modelingStructures\classDiagramsBasic\q-tick-notShown.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\modeling\modelingStructures\classDiagramsBasic\q-essay-explainClassDiagram.md
2018-09-16T08:29:10.475Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\running\exercises.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\running\q-runHelloWorld.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\primitiveTypes\resources.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\variables\resources.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\operators\resources.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\arrays\resources.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\arrays\exercises.md
2018-09-16T08:29:10.476Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\arrays\q-compareNames.md
2018-09-16T08:29:10.477Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\branching\exercises.md
2018-09-16T08:29:10.477Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\branching\q-greeter.md
2018-09-16T08:29:10.477Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\branching\q-gradeHelper.md
2018-09-16T08:29:10.477Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\branching\resources.md
2018-09-16T08:29:10.477Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\methods\resources.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\methods\exercises.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\methods\q-getGradeCapMethod.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\loops\resources.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\loops\exercises.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\loops\q-getMultipleGradeCapsMethod.md
2018-09-16T08:29:10.478Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\usingObjects\exercises.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\usingObjects\q-createRectangleObjects.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\instanceMembers\exercises.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\instanceMembers\q-useRectangleObjects.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\passingObjects\exercises.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\passingObjects\q-passObjectsToMoveMethod.md
2018-09-16T08:29:10.479Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\definingClasses\exercises.md
2018-09-16T08:29:10.480Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\definingClasses\q-defineCircleClass.md
2018-09-16T08:29:10.480Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\gettersAndSetters\exercises.md
2018-09-16T08:29:10.480Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\gettersAndSetters\q-addCircleGetters.md
2018-09-16T08:29:10.480Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\classLevelMembers\exercises.md
